측정소코드,date,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소,Latitude,Longitude
131131,11/2/2019,2019110213,0.004625,0.766666667,0.011125,0.045541667,72.70833333,40.45833333,경기 의정부시 범골로 138,37.735582,127.0404207
131132,11/2/2019,2019110213,0.002916667,0.770833333,0.009833333,0.046791667,82.70833333,41.25,경기 의정부시 가능로152번길 14,37.7463546,127.0476515
131141,11/2/2019,2019110213,0.004,0.629166667,0.014125,0.044291667,92.375,40.29166667,경기 안양시 만안구 안양로170번길 23,37.3899811,126.930629
131142,11/2/2019,2019110213,0.004375,0.816666667,0.017583333,0.046083333,81.5,43.16666667,경기 안양시 동안구 시민대로 235,37.394327,126.9568586
131144,11/2/2019,2019110213,0.0045,0.65,0.016958333,0.042958333,82.79166667,34.20833333,경기 안양시 동안구 경수대로 665번길 11,37.3811543,126.9526713
131145,11/2/2019,2019110213,0.003875,0.779166667,0.015583333,0.052833333,83.16666667,34.875,경기 안양시 만안구 안양로 384번길 50,37.4050438,126.9178175
131161,11/2/2019,2019110213,0.005583333,0.875,0.01625,0.060125,92.45833333,45,경기 광명시 시청로 20,37.4782254,126.8645492
131163,11/2/2019,2019110213,0.00475,0.770833333,0.018083333,0.054416667,80.625,42.625,경기 광명시 소하일로 7,37.4480819,126.8878158
131191,11/2/2019,2019110213,0.0035,0.475,0.019416667,0.046,67.70833333,42.66666667,경기 안산시 단원구 화랑로 387,37.3223041,126.8320891
131192,11/2/2019,2019110213,0.009541667,0.675,0.020041667,0.044916667,103.75,50.54166667,경기 안산시 단원구 산단로 112 근로복지관,37.3346187,126.8121597
131193,11/2/2019,2019110213,0.004458333,0.9625,0.018833333,0.04925,81.95833333,44.20833333,경기 안산시 상록구 각골길 75,37.2939824,126.8761685
131194,11/2/2019,2019110213,0.005541667,,0.018666667,0.069291667,80.41666667,21.04166667,경기 안산시 단원구 원선로 91,37.3316323,126.8017577
131195,11/2/2019,2019110213,0.006416667,0.7875,0.017416667,0.054708333,83.375,37.83333333,경기 안산시 상록구 성호로 326,37.3317612,126.8610601
131196,11/2/2019,2019110213,0.005208333,0.5375,0.026958333,0.0255,67.20833333,33.25,경기 안산시 단원구 대부중앙로 97-9,37.2434616,126.5852859
131197,11/2/2019,2019110213,0.005708333,0.675,0.017083333,0.045666667,66,35.75,경기 안산시 단원구 안산천남로 119,37.304889,126.8335215
131198,11/2/2019,2019110213,0.005083333,0.629166667,,0.06175,70.70833333,39.95833333,경기 안산시 단원구 중앙대로 822,37.3167025,126.8279203
